account_index,credit_risk_score,customer_age,income,velocity_6h
794993,-57.0,20.0,0.1,6108.017
794995,17.0,20.0,0.7,4937.1577
795001,69.0,20.0,0.6,8762.479
795022,217.0,50.0,0.9,1067.0497
795059,105.0,20.0,0.9,4174.6006
795090,124.0,20.0,0.6,4072.5964
795094,141.0,20.0,0.1,4885.844
795117,130.0,40.0,0.5,3202.558
795118,127.0,20.0,0.9,4376.0234
795120,79.0,30.0,0.8,6405.3535
795227,128.0,30.0,0.6,5086.9487
795261,282.0,30.0,0.9,3671.9246
795262,271.0,50.0,0.8,5060.8286
795274,111.0,20.0,0.7,4584.5503
795287,193.0,40.0,0.9,889.9228
795291,13.0,40.0,0.7,4690.1597
795297,113.0,20.0,0.6,3484.872
795310,128.0,30.0,0.4,4668.159
795318,176.0,30.0,0.9,677.2884
795389,156.0,30.0,0.8,6346.766
795408,207.0,30.0,0.4,1483.6705
795501,206.0,40.0,0.9,5488.5723
795538,102.0,20.0,0.1,991.3855
795561,70.0,20.0,0.9,4607.9478
795562,111.0,40.0,0.7,3850.324
795586,71.0,50.0,0.7,4808.5576
795600,216.0,40.0,0.9,4782.021
795657,217.0,40.0,0.9,3898.7922
795689,109.0,20.0,0.8,2989.4868
795707,152.0,30.0,0.1,2861.196
795724,150.0,50.0,0.9,6289.713
795763,173.0,40.0,0.9,7995.269
795764,123.0,20.0,0.1,9204.884
795784,77.0,50.0,0.8,4313.5815
795786,143.0,20.0,0.1,3415.319
795789,17.0,50.0,0.9,2516.8574
795798,106.0,50.0,0.7,2037.0631
795833,146.0,20.0,0.9,5322.256
795848,302.0,20.0,0.3,2499.4534
795885,95.0,20.0,0.1,3936.5144
795888,128.0,30.0,0.9,1802.0354
795889,198.0,40.0,0.6,3511.3174
795893,98.0,40.0,0.6,2342.9282
795925,101.0,20.0,0.6,5985.5347
795936,231.0,30.0,0.9,3819.5652
795938,148.0,30.0,0.9,6858.6426
795977,109.0,20.0,0.7,4361.895
796006,100.0,40.0,0.8,3015.9487
796013,120.0,50.0,0.7,720.0315
796016,193.0,50.0,0.7,941.343
796021,181.0,30.0,0.6,1026.869
796025,116.0,20.0,0.3,3395.4055
796029,207.0,20.0,0.9,4105.567
796034,70.0,30.0,0.7,1253.9585
796048,47.0,20.0,0.1,6017.0576
796058,207.0,60.0,0.5,5036.0635
796059,124.0,40.0,0.9,4788.5522
796090,130.0,20.0,0.1,4453.555
796111,258.0,50.0,0.5,1408.7716
796145,143.0,30.0,0.7,4443.759
796213,150.0,30.0,0.9,2724.567
796249,188.0,40.0,0.6,1081.1517
796289,254.0,40.0,0.4,4651.4585
796307,117.0,40.0,0.7,4270.8135
796314,99.0,50.0,0.2,3912.2512
796333,154.0,60.0,0.6,3575.1199
796341,166.0,30.0,0.8,2092.1692
796382,116.0,20.0,0.7,3197.507
796387,91.0,50.0,0.2,5504.978
796400,145.0,30.0,0.8,9390.386
796405,241.0,20.0,0.8,4156.0894
796406,208.0,40.0,0.7,2700.2068
796419,105.0,40.0,0.3,3819.8906
796446,81.0,20.0,0.7,2532.0747
796461,141.0,20.0,0.2,13110.607
796480,131.0,60.0,0.9,5742.786
796539,19.0,20.0,0.6,4347.8525
796555,169.0,40.0,0.9,3016.418
796561,6.0,30.0,0.3,9293.348
796564,105.0,40.0,0.1,4729.54
796565,116.0,40.0,0.6,2146.6724
796588,186.0,40.0,0.7,5374.962
796637,222.0,20.0,0.7,3821.233
796648,140.0,30.0,0.9,3505.9492
796676,106.0,20.0,0.2,1822.31
796716,105.0,30.0,0.8,2046.8721
796730,147.0,50.0,0.9,6715.738
796737,260.0,20.0,0.3,3546.383
796761,184.0,60.0,0.9,3105.9553
796779,59.0,30.0,0.7,3316.7234
796791,124.0,20.0,0.7,7918.7095
796808,291.0,50.0,0.8,9176.679
796815,211.0,30.0,0.9,4822.0415
796842,212.0,20.0,0.1,5054.877
796877,226.0,20.0,0.1,858.2613
796890,168.0,30.0,0.2,1266.8069
796911,178.0,20.0,0.2,3261.854
796912,121.0,50.0,0.9,6302.992
796922,271.0,50.0,0.7,1292.6648
796923,117.0,30.0,0.9,5294.7905
796954,106.0,20.0,0.7,3764.935
796965,142.0,30.0,0.8,11574.368
796988,98.0,20.0,0.5,1203.6204
796991,209.0,40.0,0.9,5519.072
797029,57.0,60.0,0.8,891.6964
797102,96.0,20.0,0.5,5918.571
797141,133.0,30.0,0.8,1229.0419
797156,69.0,40.0,0.9,3383.8167
797173,105.0,20.0,0.6,953.7762
797222,15.0,30.0,0.1,4905.5615
797224,250.0,20.0,0.9,1478.0721
797243,91.0,30.0,0.4,6181.246
797251,214.0,20.0,0.8,799.42303
797253,112.0,30.0,0.4,1812.1056
797285,150.0,20.0,0.4,1546.2112
797320,109.0,30.0,0.8,1671.8127
797335,237.0,50.0,0.8,2007.7483
797352,181.0,20.0,0.8,2757.3267
797356,171.0,20.0,0.8,7616.036
797364,198.0,40.0,0.9,3401.164
797368,89.0,20.0,0.3,4823.443
797370,193.0,50.0,0.9,5701.0576
797382,118.0,50.0,0.8,6157.0728
797418,99.0,30.0,0.9,2344.1558
797438,130.0,50.0,0.9,2925.1677
797483,256.0,50.0,0.5,5179.0615
797487,238.0,30.0,0.9,5001.766
797493,116.0,20.0,0.7,2416.9373
797527,227.0,30.0,0.9,4870.289
797529,74.0,30.0,0.9,5466.069
797559,124.0,40.0,0.2,4646.153
797577,241.0,50.0,0.8,3774.8164
797616,200.0,60.0,0.9,5106.399
797622,108.0,40.0,0.7,5971.6304
797664,199.0,40.0,0.8,3495.778
797698,245.0,30.0,0.6,3817.3572
797702,-3.0,20.0,0.1,2628.1873
797707,238.0,40.0,0.9,5159.1396
797713,97.0,30.0,0.9,4896.139
797730,290.0,30.0,0.4,1060.5721
797756,179.0,40.0,0.6,1636.7892
797771,217.0,40.0,0.5,5495.462
797804,205.0,40.0,0.9,2521.0361
797830,115.0,30.0,0.8,11305.865
797835,75.0,20.0,0.4,7270.9624
797851,139.0,30.0,0.9,1137.9265
797852,86.0,30.0,0.1,3333.5955
797854,220.0,50.0,0.9,1529.394
797882,110.0,20.0,0.7,3410.87
797902,180.0,50.0,0.7,4204.8154
797945,66.0,40.0,0.9,1543.4474
797985,166.0,40.0,0.7,5008.861
797990,114.0,40.0,0.5,2296.681
798005,56.0,50.0,0.9,5297.2754
798038,116.0,30.0,0.9,3142.4526
798046,16.0,20.0,0.2,5686.175
798052,65.0,40.0,0.7,2226.7556
798061,208.0,30.0,0.4,3562.8042
798088,230.0,50.0,0.6,1347.4547
798150,200.0,30.0,0.5,4340.8013
798170,87.0,30.0,0.8,4022.956
798200,188.0,50.0,0.8,4489.8135
798216,239.0,40.0,0.6,1301.2389
798224,195.0,30.0,0.4,5163.8813
798231,195.0,20.0,0.9,2207.3748
798276,182.0,20.0,0.2,2589.6592
798277,71.0,30.0,0.4,1526.6725
798278,99.0,20.0,0.9,11595.679
798288,227.0,40.0,0.7,2492.2825
798293,248.0,50.0,0.3,6235.492
798354,181.0,40.0,0.9,3883.1702
798371,127.0,20.0,0.3,1874.3784
798415,98.0,20.0,0.7,2724.6968
798437,98.0,50.0,0.9,5005.59
798440,30.0,20.0,0.9,6122.4443
798446,83.0,40.0,0.5,5055.584
798452,194.0,50.0,0.9,2621.5369
798468,246.0,40.0,0.7,1240.6925
798479,183.0,20.0,0.8,2333.151
798483,164.0,40.0,0.9,323.5078
798496,119.0,40.0,0.9,3508.386
798548,132.0,50.0,0.8,5596.4727
798603,120.0,20.0,0.4,4626.8716
798619,225.0,20.0,0.9,4139.559
798645,91.0,20.0,0.6,14512.845
798647,88.0,40.0,0.8,3636.2993
798665,66.0,20.0,0.3,10198.266
798678,84.0,30.0,0.8,1572.4845
798684,107.0,30.0,0.1,8212.314
798734,135.0,20.0,0.1,1059.272
