account_index,fraud_probability,risk_tier,shap_feature_1,shap_value_1,shap_feature_2,shap_value_2,shap_feature_3,shap_value_3,shap_feature_4,shap_value_4,shap_feature_5,shap_value_5
975292,0.13871312,LOW,device_os_windows,-0.947008,payment_type_AC,-0.6073492,device_distinct_emails_8w,0.5160484,current_address_months_count,-0.469498,payment_type_AB,0.36379892
858234,0.0052144607,LOW,device_os_windows,-1.7528491,device_os_other,0.714613,current_address_months_count,-0.7054766,keep_alive_session,-0.61252046,phone_home_valid,-0.58233243
924664,0.07253595,LOW,device_os_windows,-1.0355583,payment_type_AC,-0.6553365,payment_type_AD,0.50064343,payment_type_AB,-0.394092,customer_age,-0.32269987
909580,0.0051052575,LOW,device_os_windows,-0.83028275,customer_age,-0.7389061,current_address_months_count,-0.7178174,payment_type_AC,-0.5716049,address_stability,-0.52281
795798,0.003403311,LOW,device_os_windows,-1.6083416,has_other_cards,-0.9411357,email_is_free,-0.8822832,device_os_other,0.7866028,phone_home_valid,-0.6075001
952032,0.013113438,LOW,email_is_free,-0.88359094,device_os_windows,-0.7993302,phone_home_valid,-0.6887524,payment_type_AC,-0.6073073,keep_alive_session,-0.54564303
851062,0.32295987,LOW,device_os_windows,-1.2903041,address_stability,-0.6973846,payment_type_AC,0.5985913,device_os_other,0.46982434,bank_months_count,-0.27077454
865477,0.012736846,LOW,device_os_windows,-0.83834785,current_address_months_count,-0.8034382,payment_type_AC,-0.59736824,customer_age,-0.5823883,phone_home_valid,-0.5529583
827112,0.19515811,LOW,email_is_free,-1.104645,device_os_windows,0.98015386,keep_alive_session,-0.8250384,credit_risk_score,0.67739105,payment_type_AC,-0.56511074
954613,0.016327664,LOW,has_other_cards,-1.0406468,device_os_windows,-1.0136324,email_is_free,-0.85849154,keep_alive_session,-0.7289838,device_os_macintosh,0.7220869
871291,0.072917745,LOW,device_os_windows,-1.0326533,payment_type_AC,-0.62042993,intended_balcon_amount,0.3610418,payment_type_AB,-0.33482897,email_risk,-0.27863675
920364,0.020549217,LOW,device_os_windows,-1.5756371,email_is_free,-0.8664036,device_os_other,0.6913632,employment_risk,-0.6471549,phone_home_valid,-0.53539026
928329,0.015156443,LOW,device_os_windows,0.9393766,current_address_months_count,-0.86198646,keep_alive_session,-0.82612985,phone_home_valid,-0.73975575,customer_age,-0.6304709
796446,0.004411929,LOW,device_os_windows,-1.423162,email_is_free,-1.1864619,has_other_cards,-0.959842,device_os_other,0.66781145,email_risk,0.6050508
796815,0.031253114,LOW,device_os_windows,-1.5117017,email_is_free,-1.0732563,payment_type_AC,-0.67563915,device_os_other,0.5901342,email_risk,0.56603754
994439,0.012605758,LOW,email_is_free,-0.8812632,device_os_windows,-0.81003463,phone_home_valid,-0.6684109,keep_alive_session,-0.544785,email_risk,0.5352886
932483,0.023854129,LOW,device_os_windows,-0.92983055,keep_alive_session,-0.68344086,payment_type_AC,-0.5271374,current_address_months_count,-0.4923968,payment_type_AB,0.3980367
999071,0.017412797,LOW,device_os_windows,-1.3494195,has_other_cards,-1.1412249,email_is_free,-0.91267616,device_os_other,0.6452054,email_risk,0.5488737
978778,0.03374239,LOW,email_is_free,-1.0185348,device_os_windows,0.8556119,phone_home_valid,-0.84959495,keep_alive_session,-0.77970266,payment_type_AC,-0.56775683
975234,0.009632097,LOW,current_address_months_count,-0.9855906,device_os_windows,-0.97967166,keep_alive_session,-0.7348739,payment_type_AC,0.493803,address_stability,-0.4083857
983666,0.0023571206,LOW,device_os_windows,-1.7342352,email_is_free,-1.1784892,device_os_other,0.71602565,email_risk,0.61952317,keep_alive_session,-0.61377895
975826,0.017559223,LOW,device_os_windows,-1.5138122,email_is_free,-1.0493841,device_os_other,0.681148,email_risk,0.57019997,keep_alive_session,-0.49530485
967068,0.01677719,LOW,has_other_cards,-1.12121,device_os_windows,-0.8184896,payment_type_AC,-0.6474939,name_email_similarity,-0.4056975,payment_type_AB,0.34977466
812246,0.0066743037,LOW,current_address_months_count,-0.9196455,device_os_windows,-0.82499516,payment_type_AC,-0.7535407,keep_alive_session,-0.66712147,customer_age,-0.61428005
899558,0.01302532,LOW,email_is_free,-1.1878488,current_address_months_count,-0.9469868,device_os_windows,0.8546804,keep_alive_session,-0.8465272,email_risk,0.5615197
996883,0.01758656,LOW,email_is_free,-1.2132835,device_os_windows,-0.86131084,email_risk,0.5988249,keep_alive_session,-0.59264433,payment_type_AD,0.58991647
929207,0.01743603,LOW,email_is_free,-1.0450929,device_os_windows,-0.810374,phone_home_valid,-0.6442157,email_risk,0.5583571,payment_type_AC,-0.557951
853278,0.038840547,LOW,device_os_windows,-1.5285919,has_other_cards,-0.9336504,email_is_free,-0.84514976,device_os_other,0.66612536,payment_type_AC,-0.62628424
951580,0.9497202,HIGH,device_os_windows,0.97944087,proposed_credit_limit,0.97568345,email_is_free,-0.94039625,payment_type_AC,0.5051961,credit_risk_score,0.5014514
988416,0.059454437,LOW,email_is_free,-1.2104746,device_os_windows,-0.91840726,payment_type_AC,0.6159205,customer_age,-0.5724391,email_risk,0.5630601
882104,0.018781409,LOW,device_os_windows,-1.5005053,email_is_free,-1.079118,device_os_other,0.6349278,keep_alive_session,-0.5860464,email_risk,0.56449795
899503,0.029745737,LOW,device_os_windows,-1.4995575,payment_type_AC,-0.6497363,device_os_other,0.5993878,keep_alive_session,-0.5859852,income,-0.52883047
849175,0.0136881,LOW,device_os_windows,-0.8600306,keep_alive_session,-0.6648281,phone_home_valid,-0.64040434,payment_type_AC,0.5557336,customer_age,-0.47495884
903200,0.51949555,MEDIUM,device_os_windows,-1.2136115,payment_type_AC,-0.6115781,device_os_other,0.51498204,current_address_months_count,0.4307511,name_email_similarity,0.41817293
846907,0.37104502,LOW,device_os_windows,-1.3244299,credit_risk_score,0.75928104,phone_home_valid,-0.73786825,payment_type_AC,-0.5479648,device_os_other,0.5443976
963068,0.17313617,LOW,device_os_windows,-1.2209183,email_is_free,-1.0065333,device_os_macintosh,0.92797726,email_risk,0.53074545,payment_type_AC,-0.4788823
989976,0.008238556,LOW,email_is_free,-1.0522076,device_os_windows,-0.7975925,current_address_months_count,-0.66464007,address_stability,-0.62279296,keep_alive_session,-0.61683
829602,0.04335665,LOW,device_os_windows,-1.5949733,email_is_free,-0.82307994,has_other_cards,-0.8229667,device_os_other,0.7362004,email_risk,0.51982325
900558,0.011855254,LOW,has_other_cards,-0.9349292,email_is_free,-0.8641476,device_os_windows,-0.73639154,phone_home_valid,-0.6227127,payment_type_AC,-0.58580124
803595,0.5783314,MEDIUM,device_os_windows,1.0257052,keep_alive_session,-0.83173305,credit_risk_score,0.73895353,payment_type_AC,-0.4939599,payment_type_AB,0.3691132
935361,0.06362897,LOW,device_os_windows,-1.581452,current_address_months_count,-0.95308685,keep_alive_session,-0.65715456,device_os_other,0.60656863,payment_type_AC,0.5447731
816244,0.011412845,LOW,email_is_free,-0.9856935,device_os_windows,-0.8892116,keep_alive_session,-0.71662366,payment_type_AC,-0.60639864,current_address_months_count,-0.5993513
861576,0.0021893147,LOW,email_is_free,-1.0859452,has_other_cards,-1.0647359,device_os_windows,-0.6946573,email_risk,0.5787394,keep_alive_session,-0.56960344
796289,0.005502945,LOW,device_os_windows,-1.6703256,email_is_free,-0.91577214,device_os_other,0.6539086,keep_alive_session,-0.5813422,payment_type_AC,-0.56775916
925915,0.03694092,LOW,device_os_windows,-1.4254886,has_other_cards,-0.9605552,phone_home_valid,-0.69252115,device_os_other,0.65595806,payment_type_AC,0.57820845
835549,0.009885642,LOW,device_os_windows,-1.6913404,email_is_free,-0.9449826,device_os_other,0.69073075,email_risk,0.549061,phone_home_valid,-0.54649943
925599,0.0038706686,LOW,device_os_windows,-0.9505101,current_address_months_count,-0.8844939,keep_alive_session,-0.71347564,payment_type_AC,-0.6739459,address_stability,-0.6089795
906885,0.027409062,LOW,device_os_windows,-0.90247947,email_is_free,-0.87916356,keep_alive_session,-0.6061201,email_risk,0.52796686,payment_type_AC,-0.5210238
813790,0.062916666,LOW,email_is_free,-1.1610246,device_os_windows,0.95359725,keep_alive_session,-0.85207766,email_risk,0.5336973,payment_type_AC,-0.4599837
847512,0.026951954,LOW,device_os_windows,-1.5776818,email_is_free,-0.9425492,device_os_other,0.68576366,email_risk,0.54963857,keep_alive_session,-0.5412845
898127,0.54145414,MEDIUM,customer_age,-0.99615926,device_os_windows,0.9249625,payment_type_AC,-0.6139411,current_address_months_count,0.41093764,payment_type_AB,0.4022712
914254,0.020467427,LOW,email_is_free,-1.0852268,device_os_windows,-0.7324814,keep_alive_session,-0.5793265,email_risk,0.57519704,payment_type_AC,-0.5520129
974556,0.30657148,LOW,has_other_cards,-1.2673202,device_os_windows,0.9045868,keep_alive_session,-0.68863225,current_address_months_count,0.47842947,payment_type_AC,-0.37730077
809175,0.0013193795,LOW,device_os_windows,-1.6494516,current_address_months_count,-0.76374733,device_os_other,0.67990524,keep_alive_session,-0.66288126,payment_type_AC,-0.6163207
861277,0.011835936,LOW,has_other_cards,-1.0060134,email_is_free,-0.9206687,current_address_months_count,-0.758327,device_os_windows,-0.7144866,payment_type_AC,-0.61450016
819773,0.018933961,LOW,device_os_windows,-1.5114357,email_is_free,-1.0717062,phone_home_valid,-0.62050635,device_os_other,0.6057839,email_risk,0.5345801
920058,0.009498423,LOW,device_os_windows,-1.4114171,email_is_free,-1.1158674,has_other_cards,-0.7413224,device_os_other,0.65748566,payment_type_AC,0.57966924
994513,0.04487057,LOW,device_os_windows,-1.2973863,device_os_macintosh,0.983138,email_is_free,-0.9816402,current_address_months_count,-0.7732286,keep_alive_session,-0.7532277
808521,0.013769433,LOW,email_is_free,-1.0182018,device_os_windows,-0.8248471,keep_alive_session,-0.5937575,phone_home_valid,-0.58619666,email_risk,0.578754
